comment,cleaned_comment,tokenized_comment,stopwords_comment,stemmed_comment,cleaned_stemmed,sentiment_prediction
"Saya gak lihat kalau yang main itu pemain keturunan, tapi meraka main seperti berjuang mati2an, jiwa mereka untuk Indonesia ❤,,terima kasih semua pemain yang telah berjuang hari ini❤❤❤❤",saya tidak lihat kalau yang main itu pemain keturunan tapi meraka main seperti berjuang mati an jiwa mereka untuk indonesia terima kasih semua pemain yang telah berjuang hari ini,"['saya', 'tidak', 'lihat', 'kalau', 'yang', 'main', 'itu', 'pemain', 'keturunan', 'tapi', 'meraka', 'main', 'seperti', 'berjuang', 'mati', 'an', 'jiwa', 'mereka', 'untuk', 'indonesia', 'terima', 'kasih', 'semua', 'pemain', 'yang', 'telah', 'berjuang', 'hari', 'ini']","['lihat', 'main', 'pemain', 'keturunan', 'meraka', 'main', 'berjuang', 'mati', 'jiwa', 'indonesia', 'terima', 'kasih', 'pemain', 'berjuang']","['lihat', 'main', 'main', 'turun', 'raka', 'main', 'juang', 'mati', 'jiwa', 'indonesia', 'terima', 'kasih', 'main', 'juang']",lihat main main turun raka main juang mati jiwa indonesia terima kasih main juang,negative
Ini sangt mengejutkan untk indonesia.karna Argentina aja KLH 2.1 lawan arap THN 2022 tapi sekarang Garuda indonesia bisa imbangi arap.tentu sekali hasil yg sangt memuaskan.untuk indonesia.,ini sangt mengejutkan untk indonesia karna argentina saja klh lawan arap thn tapi sekarang garuda indonesia bisa imbangi arap tentu sekali hasil yang sangt memuaskan untuk indonesia,"['ini', 'sangt', 'mengejutkan', 'untk', 'indonesia', 'karna', 'argentina', 'saja', 'klh', 'lawan', 'arap', 'thn', 'tapi', 'sekarang', 'garuda', 'indonesia', 'bisa', 'imbangi', 'arap', 'tentu', 'sekali', 'hasil', 'yang', 'sangt', 'memuaskan', 'untuk', 'indonesia']","['sangt', 'mengejutkan', 'untk', 'indonesia', 'karna', 'argentina', 'klh', 'lawan', 'arap', 'thn', 'garuda', 'indonesia', 'imbangi', 'arap', 'hasil', 'sangt', 'memuaskan', 'indonesia']","['sangt', 'kejut', 'untk', 'indonesia', 'karna', 'argentina', 'klh', 'lawan', 'arap', 'thn', 'garuda', 'indonesia', 'imbang', 'arap', 'hasil', 'sangt', 'muas', 'indonesia']",sangt kejut untk indonesia karna argentina klh lawan arap thn garuda indonesia imbang arap hasil sangt muas indonesia,negative
Paes lagi ngetes ilmu dan ngetes jantung para netizen..😅😅,paes lagi ngetes ilmu dan ngetes jantung para netizen,"['paes', 'lagi', 'ngetes', 'ilmu', 'dan', 'ngetes', 'jantung', 'para', 'netizen']","['paes', 'ngetes', 'ilmu', 'ngetes', 'jantung', 'netizen']","['paes', 'ngetes', 'ilmu', 'ngetes', 'jantung', 'netizen']",paes ngetes ilmu ngetes jantung netizen,negative
Rcti komentator nya ganti dah kaya kurang pas aja klo ini,rcti komentator nya ganti sudah kaya kurang pas saja kalau ini,"['rcti', 'komentator', 'nya', 'ganti', 'sudah', 'kaya', 'kurang', 'pas', 'saja', 'kalau', 'ini']","['rcti', 'komentator', 'ganti', 'kaya', 'pas']","['rcti', 'komentator', 'ganti', 'kaya', 'pas']",rcti komentator ganti kaya pas,negative
Tinggal nunggu eliano main🙂🔥,tinggal nunggu eliano main,"['tinggal', 'nunggu', 'eliano', 'main']","['tinggal', 'nunggu', 'eliano', 'main']","['tinggal', 'nunggu', 'eliano', 'main']",tinggal nunggu eliano main,negative
Komentator deso...berlebihan ..,komentator deso berlebihan,"['komentator', 'deso', 'berlebihan']","['komentator', 'deso']","['komentator', 'deso']",komentator deso,negative
Indonesia juga bisa ngalahin argentina,indonesia juga bisa ngalahin argentina,"['indonesia', 'juga', 'bisa', 'ngalahin', 'argentina']","['indonesia', 'ngalahin', 'argentina']","['indonesia', 'ngalahin', 'argentina']",indonesia ngalahin argentina,negative
Verdonk brmain mntp mlm ini kecil lincah tangguh,verdonk brmain mntp mlm ini kecil lincah tangguh,"['verdonk', 'brmain', 'mntp', 'mlm', 'ini', 'kecil', 'lincah', 'tangguh']","['verdonk', 'brmain', 'mntp', 'mlm', 'lincah', 'tangguh']","['verdonk', 'brmain', 'mntp', 'mlm', 'lincah', 'tangguh']",verdonk brmain mntp mlm lincah tangguh,negative
Paes on fire🔥🔥🔥🔥🔥⚡️,paes on fire,"['paes', 'on', 'fire']","['paes', 'fire']","['paes', 'fire']",paes fire,negative
Buruk bet rumput GBK,buruk bet rumput gbk,"['buruk', 'bet', 'rumput', 'gbk']","['buruk', 'bet', 'rumput', 'gbk']","['buruk', 'bet', 'rumput', 'gbk']",buruk bet rumput gbk,negative
"Keren banget timnas gue njir. Jadi gini rasanya jadi orang argentina ya punya timnas jago. Kalah ga mungkin, seri mengagetkan, menang udah biasa 🔥🔥🔥",keren banget timnas saya njir jadi gini rasanya jadi orang argentina iya punya timnas jago kalah tidak mungkin seri mengagetkan menang udah biasa,"['keren', 'banget', 'timnas', 'saya', 'njir', 'jadi', 'gini', 'rasanya', 'jadi', 'orang', 'argentina', 'iya', 'punya', 'timnas', 'jago', 'kalah', 'tidak', 'mungkin', 'seri', 'mengagetkan', 'menang', 'udah', 'biasa']","['keren', 'banget', 'timnas', 'njir', 'gini', 'orang', 'argentina', 'iya', 'timnas', 'jago', 'kalah', 'seri', 'mengagetkan', 'menang', 'udah']","['keren', 'banget', 'timnas', 'njir', 'gin', 'orang', 'argentina', 'iya', 'timnas', 'jago', 'kalah', 'seri', 'kaget', 'menang', 'udah']",keren banget timnas njir gin orang argentina iya timnas jago kalah seri kaget menang udah,negative
Gara2 Mamat suruh Hubner Elbow😅😅,gara mamat suruh hubner elbow,"['gara', 'mamat', 'suruh', 'hubner', 'elbow']","['gara', 'mamat', 'suruh', 'hubner', 'elbow']","['gara', 'mamat', 'suruh', 'hubner', 'elbow']",gara mamat suruh hubner elbow,negative
"gilaaaaa euforia nya, ngeeriiii 🔥",gilaa euforia nya ngeerii,"['gilaa', 'euforia', 'nya', 'ngeerii']","['gilaa', 'euforia', 'ngeerii']","['gilaa', 'euforia', 'ngeerii']",gilaa euforia ngeerii,negative
Ridho! Disuruh abroad kok ngeyel banget kamu!,ridho disuruh abroad kok ngeyel banget kamu,"['ridho', 'disuruh', 'abroad', 'kok', 'ngeyel', 'banget', 'kamu']","['ridho', 'disuruh', 'abroad', 'ngeyel', 'banget']","['ridho', 'suruh', 'abroad', 'ngeyel', 'banget']",ridho suruh abroad ngeyel banget,negative
Sayang tendangan witan ngk keras,sayang tendangan witan tidak keras,"['sayang', 'tendangan', 'witan', 'tidak', 'keras']","['sayang', 'tendangan', 'witan', 'keras']","['sayang', 'tendang', 'witan', 'keras']",sayang tendang witan keras,negative
Towel ngumpet goa ni 😅,towel ngumpet goa ini,"['towel', 'ngumpet', 'goa', 'ini']","['towel', 'ngumpet', 'goa']","['towel', 'ngumpet', 'goa']",towel ngumpet goa,negative
"Yang cetak gol siapa ? 
Sandi apa Oratmangun",yang cetak gol siapa sandi apa oratmangun,"['yang', 'cetak', 'gol', 'siapa', 'sandi', 'apa', 'oratmangun']","['cetak', 'gol', 'sandi', 'oratmangun']","['cetak', 'gol', 'sandi', 'oratmangun']",cetak gol sandi oratmangun,negative
"Alhamdulillah akhirnya shintaeyong ga jadi d pecat
😊😊",alhamdulillah akhirnya shintaeyong tidak jadi di pecat,"['alhamdulillah', 'akhirnya', 'shintaeyong', 'tidak', 'jadi', 'di', 'pecat']","['alhamdulillah', 'shintaeyong', 'pecat']","['alhamdulillah', 'shintaeyong', 'pecat']",alhamdulillah shintaeyong pecat,negative
Hengusah bingung q rumus=,hengusah bingung rumus,"['hengusah', 'bingung', 'rumus']","['hengusah', 'bingung', 'rumus']","['hengusah', 'bingung', 'rumus']",hengusah bingung rumus,negative
Kita butuh striker gacor,kita butuh striker gacor,"['kita', 'butuh', 'striker', 'gacor']","['butuh', 'striker', 'gacor']","['butuh', 'striker', 'gacor']",butuh striker gacor,negative
Ragnar dan strucik sdh susah diharapkan mencetak gol,ragnar dan strucik sudah susah diharapkan mencetak gol,"['ragnar', 'dan', 'strucik', 'sudah', 'susah', 'diharapkan', 'mencetak', 'gol']","['ragnar', 'strucik', 'susah', 'diharapkan', 'mencetak', 'gol']","['ragnar', 'strucik', 'susah', 'harap', 'cetak', 'gol']",ragnar strucik susah harap cetak gol,negative
"Martin Paes,,, uedaaan",martin paes uedaan,"['martin', 'paes', 'uedaan']","['martin', 'paes', 'uedaan']","['martin', 'paes', 'uedaan']",martin paes uedaan,negative
"Indonesia klau ngk dicurangi wasit auto menang kkecuali main dg jepang, jepang emng gila permainan nya",indonesia kalau tidak dicurangi wasit auto menang kkecuali main dengan jepang jepang emng gila permainan nya,"['indonesia', 'kalau', 'tidak', 'dicurangi', 'wasit', 'auto', 'menang', 'kkecuali', 'main', 'dengan', 'jepang', 'jepang', 'emng', 'gila', 'permainan', 'nya']","['indonesia', 'dicurangi', 'wasit', 'auto', 'menang', 'kkecuali', 'main', 'jepang', 'jepang', 'emng', 'gila', 'permainan']","['indonesia', 'curang', 'wasit', 'auto', 'menang', 'kkecuali', 'main', 'jepang', 'jepang', 'emng', 'gila', 'main']",indonesia curang wasit auto menang kkecuali main jepang jepang emng gila main,negative
Klo sampai Indonesia lolos... Negara lain akan berpikir 2 kali menghadapi mainan Timnas Senior Indonesia sekarang... Lihat hasil seri pun bangga krn melawan negara kuat yg sering lolos Pildun,kalau sampai indonesia lolos negara lain akan berpikir kali menghadapi mainan timnas senior indonesia sekarang lihat hasil seri pun bangga karena melawan negara kuat yang sering lolos pildun,"['kalau', 'sampai', 'indonesia', 'lolos', 'negara', 'lain', 'akan', 'berpikir', 'kali', 'menghadapi', 'mainan', 'timnas', 'senior', 'indonesia', 'sekarang', 'lihat', 'hasil', 'seri', 'pun', 'bangga', 'karena', 'melawan', 'negara', 'kuat', 'yang', 'sering', 'lolos', 'pildun']","['indonesia', 'lolos', 'negara', 'berpikir', 'kali', 'menghadapi', 'mainan', 'timnas', 'senior', 'indonesia', 'lihat', 'hasil', 'seri', 'bangga', 'melawan', 'negara', 'kuat', 'lolos', 'pildun']","['indonesia', 'lolos', 'negara', 'pikir', 'kali', 'hadap', 'main', 'timnas', 'senior', 'indonesia', 'lihat', 'hasil', 'seri', 'bangga', 'lawan', 'negara', 'kuat', 'lolos', 'pildun']",indonesia lolos negara pikir kali hadap main timnas senior indonesia lihat hasil seri bangga lawan negara kuat lolos pildun,negative
"KOMENTATOR 😂😂😂😂😂😂
KO BIASA SAJA BIJI SATU INI BIKIN MALU SAJA 😂😂😂😂😂😂😂",komentator kok biasa saja biji satu ini bikin malu saja,"['komentator', 'kok', 'biasa', 'saja', 'biji', 'satu', 'ini', 'bikin', 'malu', 'saja']","['komentator', 'biji', 'bikin', 'malu']","['komentator', 'biji', 'bikin', 'malu']",komentator biji bikin malu,negative
Gokil tom haye menyala,gokil tom haye menyala,"['gokil', 'tom', 'haye', 'menyala']","['gokil', 'tom', 'haye', 'menyala']","['gokil', 'tom', 'haye', 'nyala']",gokil tom haye nyala,negative
"0:30 Jangan Ragukan
6:13 Bungkamlah para pengkritik yang TENDENSIUS, yg berkedok pengamat. Tetap kalem, perjalanan masih panjang dan tetap realistis. Terima Kasih PSSI, Tim Pelatih, Para Pemain.
9:50 ini anak ectingnya keren banget
12:19 keren banget Verdonk oper lap
12:36 Kode dari Ferdinan : ini tidak semudah bicara, mari duduk bersama. 😁
12:48 Jangan Ganggu Perjalanan Timnas Kami. Ini tidak mudah.
14:09 Aaauuummm
Catat : kepemimpinan wasit.",jangan ragukan bungkamlah para pengkritik yang tendensius yang berkedok pengamat tetap kalem perjalanan masih panjang dan tetap realistis terima kasih pssi tim pelatih para pemain ini anak ectingnya keren banget keren banget verdonk oper lap kode dari ferdinan ini tidak semudah bicara mari duduk bersama jangan ganggu perjalanan timnas kami ini tidak mudah aauumm catat kepemimpinan wasit,"['jangan', 'ragukan', 'bungkamlah', 'para', 'pengkritik', 'yang', 'tendensius', 'yang', 'berkedok', 'pengamat', 'tetap', 'kalem', 'perjalanan', 'masih', 'panjang', 'dan', 'tetap', 'realistis', 'terima', 'kasih', 'pssi', 'tim', 'pelatih', 'para', 'pemain', 'ini', 'anak', 'ectingnya', 'keren', 'banget', 'keren', 'banget', 'verdonk', 'oper', 'lap', 'kode', 'dari', 'ferdinan', 'ini', 'tidak', 'semudah', 'bicara', 'mari', 'duduk', 'bersama', 'jangan', 'ganggu', 'perjalanan', 'timnas', 'kami', 'ini', 'tidak', 'mudah', 'aauumm', 'catat', 'kepemimpinan', 'wasit']","['ragukan', 'bungkamlah', 'pengkritik', 'tendensius', 'berkedok', 'pengamat', 'kalem', 'perjalanan', 'realistis', 'terima', 'kasih', 'pssi', 'tim', 'pelatih', 'pemain', 'anak', 'ectingnya', 'keren', 'banget', 'keren', 'banget', 'verdonk', 'oper', 'lap', 'kode', 'ferdinan', 'semudah', 'bicara', 'mari', 'duduk', 'ganggu', 'perjalanan', 'timnas', 'mudah', 'aauumm', 'catat', 'kepemimpinan', 'wasit']","['ragu', 'bungkam', 'kritik', 'tendensius', 'kedok', 'amat', 'kalem', 'jalan', 'realistis', 'terima', 'kasih', 'pssi', 'tim', 'latih', 'main', 'anak', 'ectingnya', 'keren', 'banget', 'keren', 'banget', 'verdonk', 'oper', 'lap', 'kode', 'ferdinan', 'mudah', 'bicara', 'mari', 'duduk', 'ganggu', 'jalan', 'timnas', 'mudah', 'aauumm', 'catat', 'pimpin', 'wasit']",ragu bungkam kritik tendensius kedok amat kalem jalan realistis terima kasih pssi tim latih main anak ectingnya keren banget keren banget verdonk oper lap kode ferdinan mudah bicara mari duduk ganggu jalan timnas mudah aauumm catat pimpin wasit,negative
Garuda didada,garuda didada,"['garuda', 'didada']","['garuda', 'didada']","['garuda', 'dada']",garuda dada,negative
"RCTI ruuaarrr biasaaahhhh 👏
INDONESIA terus berjaya 🇲🇨
Sudah saatnya terbang seperti Garuda.. 🦅👍🏻",rcti ruuaarr biasaahh indonesia terus berjaya sudah saatnya terbang seperti garuda,"['rcti', 'ruuaarr', 'biasaahh', 'indonesia', 'terus', 'berjaya', 'sudah', 'saatnya', 'terbang', 'seperti', 'garuda']","['rcti', 'ruuaarr', 'biasaahh', 'indonesia', 'berjaya', 'terbang', 'garuda']","['rcti', 'ruuaarr', 'biasaahh', 'indonesia', 'jaya', 'terbang', 'garuda']",rcti ruuaarr biasaahh indonesia jaya terbang garuda,negative
timnas jooosss.. muantabbbbb,timnas jooss muantabb,"['timnas', 'jooss', 'muantabb']","['timnas', 'jooss', 'muantabb']","['timnas', 'jooss', 'muantabb']",timnas jooss muantabb,negative
Rafael struick teralalu sering m3lakukan kesalahan,rafael struick teralalu sering lakukan kesalahan,"['rafael', 'struick', 'teralalu', 'sering', 'lakukan', 'kesalahan']","['rafael', 'struick', 'teralalu', 'lakukan', 'kesalahan']","['rafael', 'struick', 'teralalu', 'laku', 'salah']",rafael struick teralalu laku salah,negative
"Masih mending dikasih kuning pdhal bisa aja merah, masih aja diprotes",masih mending dikasih kuning pdhal bisa saja merah masih saja diprotes,"['masih', 'mending', 'dikasih', 'kuning', 'pdhal', 'bisa', 'saja', 'merah', 'masih', 'saja', 'diprotes']","['mending', 'dikasih', 'kuning', 'pdhal', 'merah', 'diprotes']","['mending', 'kasih', 'kuning', 'pdhal', 'merah', 'protes']",mending kasih kuning pdhal merah protes,negative
"Yang kemaren bikin TAGAR STY OUT
MANA NIH ?",yang kemaren bikin tagar sty out mana nih,"['yang', 'kemaren', 'bikin', 'tagar', 'sty', 'out', 'mana', 'nih']","['kemaren', 'bikin', 'tagar', 'sty', 'nih']","['kemaren', 'bikin', 'tagar', 'sty', 'nih']",kemaren bikin tagar sty nih,negative
EL Preman menunjukan tajinya😂,el preman menunjukan tajinya,"['el', 'preman', 'menunjukan', 'tajinya']","['el', 'preman', 'menunjukan', 'tajinya']","['el', 'preman', 'tunjuk', 'taji']",el preman tunjuk taji,negative
Yang ngomong lokal preet mana ni,yang ngomong lokal preet mana ini,"['yang', 'ngomong', 'lokal', 'preet', 'mana', 'ini']","['ngomong', 'lokal', 'preet']","['ngomong', 'lokal', 'preet']",ngomong lokal preet,negative
Bang paes maen nya meledakkkk keren,bang paes maen nya meledakk keren,"['bang', 'paes', 'maen', 'nya', 'meledakk', 'keren']","['bang', 'paes', 'maen', 'meledakk', 'keren']","['bang', 'paes', 'maen', 'meledakk', 'keren']",bang paes maen meledakk keren,negative
"Arab pasti ketar ketirtuh  
Indonesia nibos",arab pasti ketar ketirtuh indonesia nibos,"['arab', 'pasti', 'ketar', 'ketirtuh', 'indonesia', 'nibos']","['arab', 'ketar', 'ketirtuh', 'indonesia', 'nibos']","['arab', 'ketar', 'ketirtuh', 'indonesia', 'nibos']",arab ketar ketirtuh indonesia nibos,negative
Arab saudi eceeekk,arab saudi eceekk,"['arab', 'saudi', 'eceekk']","['arab', 'saudi', 'eceekk']","['arab', 'saudi', 'eceekk']",arab saudi eceekk,negative
Menang di puji kalah di caci,menang di puji kalah di caci,"['menang', 'di', 'puji', 'kalah', 'di', 'caci']","['menang', 'puji', 'kalah', 'caci']","['menang', 'puji', 'kalah', 'caci']",menang puji kalah caci,negative
gonta ganti pelatih di waktu ajang resmi berjalan itu petaka...mampus kalah kn drun 😂,gonta ganti pelatih di waktu ajang resmi berjalan itu petaka mampus kalah kn drun,"['gonta', 'ganti', 'pelatih', 'di', 'waktu', 'ajang', 'resmi', 'berjalan', 'itu', 'petaka', 'mampus', 'kalah', 'kn', 'drun']","['gonta', 'ganti', 'pelatih', 'ajang', 'resmi', 'berjalan', 'petaka', 'mampus', 'kalah', 'kn', 'drun']","['gonta', 'ganti', 'latih', 'ajang', 'resmi', 'jalan', 'petaka', 'mampus', 'kalah', 'kn', 'drun']",gonta ganti latih ajang resmi jalan petaka mampus kalah kn drun,negative
PREDIKSI KU AUSTRALIA KETAR-KETIR NICH,prediksi ku australia ketar ketir nich,"['prediksi', 'ku', 'australia', 'ketar', 'ketir', 'nich']","['prediksi', 'ku', 'australia', 'ketar', 'ketir', 'nich']","['prediksi', 'ku', 'australia', 'ketar', 'tir', 'nich']",prediksi ku australia ketar tir nich,negative
"Timnas punya peluang bikin killing goal,lewat moment serangan balik di tengah babak 2 dan menit2 akhir jelang laga usai.tapi sayang gagal dimaksimalkan.,namun hasil imbang modal awal yg berharga,aplg Indon non-unggulan.,sgt bersyukur dg hasil ini. Maju terus pantang mundur ,",timnas punya peluang bikin killing goal lewat moment serangan balik di tengah babak dan menit akhir jelang laga usai tapi sayang gagal dimaksimalkan namun hasil imbang modal awal yang berharga aplg indon non unggulan sgt bersyukur dengan hasil ini maju terus pantang mundur,"['timnas', 'punya', 'peluang', 'bikin', 'killing', 'goal', 'lewat', 'moment', 'serangan', 'balik', 'di', 'tengah', 'babak', 'dan', 'menit', 'akhir', 'jelang', 'laga', 'usai', 'tapi', 'sayang', 'gagal', 'dimaksimalkan', 'namun', 'hasil', 'imbang', 'modal', 'awal', 'yang', 'berharga', 'aplg', 'indon', 'non', 'unggulan', 'sgt', 'bersyukur', 'dengan', 'hasil', 'ini', 'maju', 'terus', 'pantang', 'mundur']","['timnas', 'peluang', 'bikin', 'killing', 'goal', 'moment', 'serangan', 'babak', 'menit', 'jelang', 'laga', 'sayang', 'gagal', 'dimaksimalkan', 'hasil', 'imbang', 'modal', 'berharga', 'aplg', 'indon', 'non', 'unggulan', 'sgt', 'bersyukur', 'hasil', 'maju', 'pantang', 'mundur']","['timnas', 'peluang', 'bikin', 'killing', 'goal', 'moment', 'serang', 'babak', 'menit', 'jelang', 'laga', 'sayang', 'gagal', 'maksimal', 'hasil', 'imbang', 'modal', 'harga', 'aplg', 'indon', 'non', 'unggul', 'sgt', 'syukur', 'hasil', 'maju', 'pantang', 'mundur']",timnas peluang bikin killing goal moment serang babak menit jelang laga sayang gagal maksimal hasil imbang modal harga aplg indon non unggul sgt syukur hasil maju pantang mundur,negative
Muak saya liat El klemer... 😂😂😂,muak saya lihat el klemer,"['muak', 'saya', 'lihat', 'el', 'klemer']","['muak', 'lihat', 'el', 'klemer']","['muak', 'lihat', 'el', 'klemer']",muak lihat el klemer,negative
"Kebanyakan maenin bola diarea kotak pinalti akhirnya bikin kiper blunder yg menyebabkan lawan dpt tendangan pinalti, untungnya gak masuk",kebanyakan maenin bola diarea kotak pinalti akhirnya bikin kiper blunder yang menyebabkan lawan dapat tendangan pinalti untungnya tidak masuk,"['kebanyakan', 'maenin', 'bola', 'diarea', 'kotak', 'pinalti', 'akhirnya', 'bikin', 'kiper', 'blunder', 'yang', 'menyebabkan', 'lawan', 'dapat', 'tendangan', 'pinalti', 'untungnya', 'tidak', 'masuk']","['kebanyakan', 'maenin', 'bola', 'diarea', 'kotak', 'pinalti', 'bikin', 'kiper', 'blunder', 'menyebabkan', 'lawan', 'tendangan', 'pinalti', 'untungnya', 'masuk']","['banyak', 'maenin', 'bola', 'area', 'kotak', 'pinalti', 'bikin', 'kiper', 'blunder', 'sebab', 'lawan', 'tendang', 'pinalti', 'untung', 'masuk']",banyak maenin bola area kotak pinalti bikin kiper blunder sebab lawan tendang pinalti untung masuk,negative
Si onta kena gol lawan terus sionta,si onta kena gol lawan terus sionta,"['si', 'onta', 'kena', 'gol', 'lawan', 'terus', 'sionta']","['si', 'onta', 'kena', 'gol', 'lawan', 'sionta']","['si', 'onta', 'kena', 'gol', 'lawan', 'sionta']",si onta kena gol lawan sionta,negative
SAYA.MINTA.STROK.ADA.DI.GARIS.PALENG.DEPAN.MASIH.KURANG.TAJAM.HARUS.DI.BENAI.PAK.TOHER.,saya minta strok ada di garis paleng depan masih kurang tajam harus di benai pak toher,"['saya', 'minta', 'strok', 'ada', 'di', 'garis', 'paleng', 'depan', 'masih', 'kurang', 'tajam', 'harus', 'di', 'benai', 'pak', 'toher']","['strok', 'garis', 'paleng', 'tajam', 'benai', 'toher']","['strok', 'garis', 'paleng', 'tajam', 'bena', 'toher']",strok garis paleng tajam bena toher,negative
OTW Trending 1 gas Garudaku,otw trending gas garudaku,"['otw', 'trending', 'gas', 'garudaku']","['otw', 'trending', 'gas', 'garudaku']","['otw', 'trending', 'gas', 'garuda']",otw trending gas garuda,negative
Manatappp mainya... Indonesia bisa imbang lawan arab saudi,manatapp mainya indonesia bisa imbang lawan arab saudi,"['manatapp', 'mainya', 'indonesia', 'bisa', 'imbang', 'lawan', 'arab', 'saudi']","['manatapp', 'mainya', 'indonesia', 'imbang', 'lawan', 'arab', 'saudi']","['manatapp', 'mai', 'indonesia', 'imbang', 'lawan', 'arab', 'saudi']",manatapp mai indonesia imbang lawan arab saudi,negative
"menurut saya, yg buat timnas menang bukan Pemain atau pelatih tapi ketum PSSI (Pa Erik tohir)
yg tiada henti memberi wejangan bahkan berani mundur klo pelatih/pemain tidak percaya proyek besar ini (proyek tembus pildun)",menurut saya yang buat timnas menang bukan pemain atau pelatih tapi ketum pssi pa erik tohir yang tiada henti memberi wejangan bahkan berani mundur kalau pelatih pemain tidak percaya proyek besar ini proyek tembus pildun,"['menurut', 'saya', 'yang', 'buat', 'timnas', 'menang', 'bukan', 'pemain', 'atau', 'pelatih', 'tapi', 'ketum', 'pssi', 'pa', 'erik', 'tohir', 'yang', 'tiada', 'henti', 'memberi', 'wejangan', 'bahkan', 'berani', 'mundur', 'kalau', 'pelatih', 'pemain', 'tidak', 'percaya', 'proyek', 'besar', 'ini', 'proyek', 'tembus', 'pildun']","['timnas', 'menang', 'pemain', 'pelatih', 'ketum', 'pssi', 'pa', 'erik', 'tohir', 'tiada', 'henti', 'wejangan', 'berani', 'mundur', 'pelatih', 'pemain', 'percaya', 'proyek', 'proyek', 'tembus', 'pildun']","['timnas', 'menang', 'main', 'latih', 'tum', 'pssi', 'pa', 'erik', 'tohir', 'tiada', 'henti', 'wejang', 'berani', 'mundur', 'latih', 'main', 'percaya', 'proyek', 'proyek', 'tembus', 'pildun']",timnas menang main latih tum pssi pa erik tohir tiada henti wejang berani mundur latih main percaya proyek proyek tembus pildun,negative
Sebuah atmsfr yang tak mampu di kalahakan negara manapun.bhkam gemuruh di tv terasa,sebuah atmsfr yang tidak mampu di kalahakan negara manapun bhkam gemuruh di tv terasa,"['sebuah', 'atmsfr', 'yang', 'tidak', 'mampu', 'di', 'kalahakan', 'negara', 'manapun', 'bhkam', 'gemuruh', 'di', 'tv', 'terasa']","['atmsfr', 'kalahakan', 'negara', 'manapun', 'bhkam', 'gemuruh', 'tv']","['atmsfr', 'kalahakan', 'negara', 'mana', 'bhkam', 'gemuruh', 'tv']",atmsfr kalahakan negara mana bhkam gemuruh tv,negative
"Saya bukan dukun juga bukan paranormal, tapi saya melihat kedepan nya Indonesia bakalan lolos ke Piala Dunia 2026 di Amerika/Mexico/Canada🙏🙏",saya bukan dukun juga bukan paranormal tapi saya melihat kedepan nya indonesia bakalan lolos ke piala dunia di amerika mexico canada,"['saya', 'bukan', 'dukun', 'juga', 'bukan', 'paranormal', 'tapi', 'saya', 'melihat', 'kedepan', 'nya', 'indonesia', 'bakalan', 'lolos', 'ke', 'piala', 'dunia', 'di', 'amerika', 'mexico', 'canada']","['dukun', 'paranormal', 'kedepan', 'indonesia', 'lolos', 'piala', 'dunia', 'amerika', 'mexico', 'canada']","['dukun', 'paranormal', 'depan', 'indonesia', 'lolos', 'piala', 'dunia', 'amerika', 'mexico', 'canada']",dukun paranormal depan indonesia lolos piala dunia amerika mexico canada,negative
"Komentator nya mending ganti AI aja, kayak orang mencret semua",komentator nya mending ganti ai saja kayak orang mencret semua,"['komentator', 'nya', 'mending', 'ganti', 'ai', 'saja', 'kayak', 'orang', 'mencret', 'semua']","['komentator', 'mending', 'ganti', 'ai', 'kayak', 'orang', 'mencret']","['komentator', 'mending', 'ganti', 'ai', 'kayak', 'orang', 'mencret']",komentator mending ganti ai kayak orang mencret,negative
mengeringkan,mengeringkan,['mengeringkan'],['mengeringkan'],['ering'],ering,negative
Biar pun gua hanyan nton highligt nya ja gua dh tau permainan indonesia yg skrng indah bget..maen di kandang lawan msh nerapin presing dan nyerang,biar pun saya hanyan nton highligt nya ja saya dh tau permainan indonesia yang skrng indah bget maen di kandang lawan msh nerapin presing dan nyerang,"['biar', 'pun', 'saya', 'hanyan', 'nton', 'highligt', 'nya', 'ja', 'saya', 'dh', 'tau', 'permainan', 'indonesia', 'yang', 'skrng', 'indah', 'bget', 'maen', 'di', 'kandang', 'lawan', 'msh', 'nerapin', 'presing', 'dan', 'nyerang']","['biar', 'hanyan', 'nton', 'highligt', 'ja', 'dh', 'tau', 'permainan', 'indonesia', 'skrng', 'indah', 'bget', 'maen', 'kandang', 'lawan', 'msh', 'nerapin', 'presing', 'nyerang']","['biar', 'hanyan', 'nton', 'highligt', 'ja', 'dh', 'tau', 'main', 'indonesia', 'skrng', 'indah', 'bget', 'maen', 'kandang', 'lawan', 'msh', 'nerapin', 'presing', 'nyerang']",biar hanyan nton highligt ja dh tau main indonesia skrng indah bget maen kandang lawan msh nerapin presing nyerang,negative
