cleaned_stemmed,sentiment_prediction
ggwp main hebat,positive
menang,positive
kali tahan saudi arabia kalah bravo tim nas indonesia,positive
malaysia masuk rengking min,negative
banggan timnas indonesia bobol gawang tim asuh roberto mancini,negative
sanggt senang timnas bom pernh lihat,negative
yok rematch argen,negative
kli mai konsisten indonseia laga piala dunia,positive
goblok rcti bola maju jam sportaculer jam udah kaya tuh ngiklanin jam,negative
paes bilek tau khodam niihh lihat,positive
menang timnasku kelas dunia kelas aff,positive
suka tanding timnas siar rcti,positive
haduh pas lihat udah babak pas bnyak ganti serang,negative
goal hoki,positive
mahal ajah nih bayar sty brpa pnting timnas sukses kaya skrng dpan,positive
sia sia begadang alhamdulillah nahan imbang,positive
team sepak bola indonesia bikin ketar tir negara tangan orang terima kasih bikin bangga bunga bunga hadap nyata kerja keras nyari makan hahahahaa,positive
rizki ridho witan ganti,negative
martin paes iya ku tunggu salah netizen jatuh mental,negative
jersey king indo warna putih batu energi luarbiasa bravo indonesia,positive
rcti tolong timnas nti main indo jgan ambil alih tifi ikan,negative
rizky ridho tk ganti,positive
tampil wak haji top prfoam,positive
timnas keren moga tambah amunisi main lapis tara main inti tambah dalam skuad,positive
oratmangoen versus al bulayhi,positive
shalawat laga silaturahmi penuh nikmat,positive
bangga timnas hebat,positive
struik muas,positive
asia eropah ngerihh level club sey timnas indonesia piala dunia top erick thohir,positive
main peringkat depan,positive
kaya witan rido naturalisasi semangat indo moga hasil baik,positive
timnas lawan qatar menang bantu wasit tim qatarnnya,negative
strategi arab saudi naik tempo babak gila gila main tahan menit,negative
edisi timnas indonesia best,positive
skrng indonesia saing papan asia,positive
alhamdulillah ngerasa timnas,positive
justin hubner bek kuat panggil,positive
ujung tombak,negative
poin pnting raih timnas arab saudi smngat main timnas,positive
main indonesia bagus babak rapi,positive
pencapian amazing terima kasih timnas ku,positive
serasa nonton empat final piala dunia cuyy,positive
getting strong match month year,positive
ngeselin komentator,positive
buset main timnas bule isi,negative
tanah suci tanah air bumi bumi pihak god good time god bless indonesia,positive
gile asuhsn kelas roberto mancini imbang,negative
ketiak berkiringat nyadat netes paha,negative
peluang sia papa semangat garuda,positive
keren si ridho,positive
hasil main bagus indonesia main,positive
kaya lihat timnas indonesia barcelona mai,positive
main timnas bagus bbrp catat banyak main lokal shooting target nampak tenaga liat shooting alami witan eggy beda main abroad oratmangoen shooting goal full energy,positive
main timnas bagus bbrp tekan banyak main lokal shooting target nampak tenaga sekali tenaga lesat gawang alami witan eggy beda main abroad oratmangoen shooting full energy evaluasi,positive
ikut hebat negara indonesia bsa imbang arab,positive
tahan kuat sejarah timnas keren timnas,positive
gilaa beneran timnas indoo kerenn bangett,negative
impresif garuda wat main lokal main liga indonesia bangkit lihat timnas naturalisasi ajar saing timnas pilih,positive
bangga,positive
komentar lebai,positive
ratnaar oratmangoen si tenaga badak,negative
alhamdulillah indonesia progres,positive
lihat urat mangun pepe iya,negative
main timnas kembang passing akurasi umpan,positive
nih menang kandang,positive
optimis rematch lawan argentina senior menang king saudi nih bos ngalahin king argentina bikin ketar tir,positive
suporter indonesia stadion arab saudi warna merah putih kereen,positive
wak haji botak gin vibes kaya bek imut portugal,negative
salut arab nahan imbang indo,positive
sreamingnya macet,negative
kerennmn timnasku luuaarr bangga,positive
jijik komentator sok arab,positive
juara piala dunia kaya mah main udah kelad level asia indonesia main ala eropa mah ahayy asia tenggara mah level indonesia,positive
bangga,positive
khotib hadirin sidang jumat bahagia jamaah,positive
walopun imbang bangga indonesia ku garuda ku,positive
koar main lokal suara preet jo ngoni bisa adu domba sya allah main kandang timnas menang,positive
wajah roberto mancini kusut,positive
kaleng kaleng paez kelas dunia mmang main lokal kedodoran kaya ferarri,negative
udah keren arab saudi nahan imbang indonesia,positive
keri latih arab mancini,positive
menang aduh kenceng oper,positive
mancini percaya hasil hahahahha sty imbangin mancini,positive
ragnar si banteng,negative
bravo timnas garuda sayang bangsa negara amiin,positive
utung jordi habis lh lini kor,positive
oh ancene salim iki njalok keplak,negative
bayang mah yah bayang timnas hasil tempat peringkat klasemen bawah jepang weh libur nasional mah,positive
towel undang ngoceh tuju kumpul,negative
kaya gin menang lawan australia,negative
boas kecepetan lahir,negative
negara asean ngeri ngeliat,negative
kiper top serang kali kali penalti tahan,negative
alhamdulillah hasil bagus jual pecel lele pasar jam tidur jam hari timnas main tidur jam buka ngantuk semangat,positive
cuaca panas kasi main natur cuaca bagus tim garuda menang lanjut nathan cs,positive
timnas indonesia best erik thohir pssi mantap supporter masyarakat indonesia keren merdeka,positive
mantap paes,positive
tidur nonton,positive
nilai tinggi garuda indonesia nyala garuda indonesia,positive
alhamdulillah point moga main tetep konsisten,positive
rcti full upload mantabb beda indosiarr kampreet,positive
bangga prestasi,positive
bangga catat struick maksimal akurasi passing baik kurang blunder gol arab saudi hitung untung paes udah baca arah cuman deflect calvin,negative
alhamdulillah draw,positive
si toel ngomel bravo timnas senior staf platih pakai eric,positive
bos komentator bhs inggris greget iya pihak nyebut main pasing cerita jaman,negative
timnas senior lawan malondesh menang,positive
gabutanku obat karna bang paes moga lawan australia timnas ku menang,positive
wasit kyak pro arab,positive
kes main bocah ajaib witan sulaiman,negative
si botak oratmangoen,negative
umur umur kali rela bangun malam tonton timnas indonesia main bangga nda percaya indonesia lawan tim kelas asia harap moga kalah bobol harap menang haru,negative
gelo jam jt,positive
nyala bang paess,positive
lihat indonesia bgus baget mai mrinding,positive
harap sin tae yong latih timnas,negative
bravo towel,positive
cetak gol sandi oratmangun,negative
indonesia menang sih sayang finishing,positive
keren banget indonesia hati hati main saudi keras playing victim,negative
detik detik gol indonesia,positive
timnas malam kelas,positive
si towel towel,positive
persis main liga liga eropa bola nempel,positive
faktor wasit waktor cuaca udah sip main,negative
arab saudi versus belanda,positive
terima kasih terima kasih punggawa timnas garuda staff latih coach sin imbang tonton main terima kasih hebat,positive
kiper marteen paes kelas dunia moga lawan australia nnt menang marteen paes konsisten,positive
towel anjas panas burit,negative
ewako,positive
main tensi jm teriak,negative
sporter indonesia ngeri mana,positive
si paes jago lawak,negative
udah tebak komentar coba kalah,negative
muka mancini merah rona,negative
main bagus prediksi indonesia menang hasil seri god job good job nice playing nice players,positive
ngeri indo menang peluang bener,positive
indonesia belanda mntp jos pokoke semanggt indonesia maju ta gentar,positive
ragnar benzema,positive
sty hebat,positive
pake jersey putih gacor main,negative
sejarah,positive
best player marthen paes,positive
parkir bus indra sjafri suka parkir bus,positive
detik detik kiper langgan arab saudi longo heran percaya lawan kayak timnas indonesia main kembang merepeotkan hati kekgitu,negative
marten paes idola merdeka indonesia,positive
kayak timnas indo kejut dunia sepak bola,positive
sayang banget peluang menit gol kencang umpan,positive
ragnar main keras banget smalem bener struick eval hilang bola moga besok paes gila sih blunder tanggung nepis pinalti gg bang paes,negative
gila sih orang versus everybody kena mental arab mandang remeh ahahaha,negative
ragnar obat,positive
ragnar rasuk dds,negative
indonesia udah lolos asi cup yah afc asi qualifiers fifa world cup qualifiers yah,positive
marselino ferdinan min payahh,positive
untung arab kalah kalah naek biaya brkt haji,positive
tangan dingin tum pssi erick thohir,negative
lino ngapain show,positive
bagus semangat juang eforia main naturalisasi juang kerjasama sama main timnas indonesia banget tingkat kerjasama tim strategi paham pola matang sadar menang tanding main bagus bagus hadap tim group macan asia pupuk yakin tingkat mental hadap tim mana dunia stamina tingkat jaga stabil terjemah pola strategi latih tim lawan beda beda strategi hadap juang semangat terima kasih timnas pssi kait dukung tingkat kualitas sepakbola indonesia timnas salam olahraga bravo sepakbola indonesia,positive
ole romeny,positive
lepas parkir bus taktik latih jelass timnass nyala malam,positive
mimpi indonesia nyata go piala dunia,positive
timnas indo main udah kaya eropa main timnas indo orang eropa malam timnas saudi versus timnas belanda nusantara,positive
komentstor pas tarkam,negative
bravo timnas begadang subuh timnas doa dukukungan timnas,positive
ubah bias main tarik minat sepakbola kalang,negative
peluang gol umpanya struik lemah banget,negative
terima kasih rcti syukur siar rcti tv terkadang gol kurang,positive
lgi lihat timnas main jam mlm kaya nunggu liga campion,negative
away seporter mana,positive
klub indonesia isi main timnas kayak nyaingin jdt buriram united nih gpp liga tani segi timnas klub wakil bagus asia,positive
nonton live streaming cenel,positive
vietnam thailand malaysia mlongo main timnas indonesia bravo timnas,positive
main naturalisasi,positive
kelas asia indonesia,positive
tim nas arab lawan timnas belanda,positive
nonton king indo lawan arab saudi bikin lemah jantan eh jantung,negative
rcti niat undang komentator towel,negative
arab seportif si kelas emang jam terbang kayak qavar,positive
gbk bom dipake stlh perbaikn rumput bagus rata kaya lapangn saudi nggk iya ttp gelombang sungguh,positive
indonesia skrng kls dunia,negative
optimis indonesia lolos pildun indonesia finish runner jepang catat ucap aamiin,positive
sandy walsh inzaghi,positive
witan main kelas dunia,positive
arabia senggol dikit jatuh badan gede malu arab arab,negative
malaysia nonton iya,negative
rcti baik,positive
class eropa indonesia,positive
dukung timnas kalah menang insya allah piala dunia,positive
indonesia nama indonesia,positive
bravo tinnas scara prmainan sdah level jaga konsistensi lh kembang bangsa bangga,positive
gol belok arah uji sungguh lawan jepang,negative
rendah hati fokus,positive
layak tonton sih,positive
kayak sejarah ulang timnas indo lolos pildun zaman skrg performa timnas oke line main turun klub eropa lokal abroad liga negeri,positive
paaeess lsg bayar lunas salah btw enak nonton timnas nontonin,positive
salut ragnar capek lari kanan kiri turun naek man match,positive
arab saudi jago drama qatar wasit cermat tipu main arab khusus pinalti msh bau trik,negative
al hilal versus star eropa,negative
bjirr lihat higlignya dh keren gin nyesel banget tidur semalem bangun laga kelar tolong min siarang ulang tang full ul,negative
hebat arab tahan imbang king indo,positive
smg lolos pilgub wlpn hitung th mngjutkn tim unggul jaya timnas garuda,negative
datang paus fransiskus indonesia menang,positive
lihat cuplik babak indonesia keteter,positive
komentator buruk sejarah,negative
mantapp rcti,positive
om ragnar surup fredi yunberg,positive
wow aura asa piala dunia terima kasih main indonesia staff nanti timnas gin bravo,positive
nyala wak haji ragnar,negative
poko bangga bgd indonesia imbang imabangnya msh ngegoalin,positive
mentalitas eropa bawa timnas,negative
tim nas oke bett,positive
maarten paes ku juluk trust worthy ones,positive
alhamdulillah smga lolos pildun aamiin,positive
keren hebat timnas garuda,positive
haru bangga alhamdulilah,positive
totalitas rcti timnas gagal rvao rcti bravo timnas,negative
jir ridho ngapain,negative
terima kasih timnas indonesia moga kembang,positive
alhamdulilah,positive
gol keren keinget simone inzaghi,positive
highlight rcti mantap indosiar,positive
paess coba tes pinalti tular kiper indo,positive
timnas kelas,positive
selamat indonesia tingkat,positive
tunggu full macth,negative
saat orang menjudge main naturilasi sya haru perjuaangan tanding nama indonesia indonesia nama indonesia tdak indonesia jiwa merah putih kalah orang menjudge,negative
menang striker bagus grad,positive
pas masukin gol haru teriak nang pas paes menep finalti,negative
mvp sih gawang bqnding sih kalah respect pikul beban lolos pildun moga laksana love garuda,positive
iklan min,positive
main bagus arab saudi efektifitas menang,positive
mantap martin paes menep tendang pinalti main arab saudi,positive
coba latih ganti yakin indonesia raih poin penuh,positive
komentar bang towel gi mn iya lihat timnas tahan imbang arab saudi,positive
albuya tukang pancing emosi hajar bang botak mantap,positive
terbang garuda bukti dunia bangsa indonesia prestasi rendah,positive
nih suara media inggris bilang arab bantai timnas lawak inggris,negative
keras lawan arab mantap seri bagus karna menang tekan tim tekan keras lawan moga sty jeli sterategi,positive
presiden atlet timnas juang kasih bonus harga langsung presiden,positive
keren straikernya,positive
main arab saudi pressing main indonesia gugup bener amat sepakbola dunia main indonesia tim yd peringkat,positive
kalah mancini indonesia imbang saudi latih mancini tanding serius kualifikasi world cup,negative
king indo mantap,positive
mantab gol duluan,positive
good job garuda,positive
pes jalan debut mimpi buruk,negative
bantai arab saudi kali imbang alhamdulillah,positive
rafael kalah telak nggk bsa main,negative
bestt bangett perjuangannyaa mantap,positive
bang paes pake acara tes ombak deg degan heii gg king indo,negative
mantap indonesia kelas dunia alhamdulillah,positive
andai serang babak umpan struick kenceng dikit beehh mantap seri udah bagus good job timnas,positive
indosiar bujang lihat ajar highlight,positive
timnas aman paes,positive
terima kasih bang marten save,positive
nang allah lihat juang timnas indonesia,positive
tebak ku,negative
rcti emang oke,positive
marteen paes pas penalti dek dek,positive
full asing iya lokal biji kbnggaan trsndiri jdinya,positive
otw piala dunia,positive
moga thom haye stamina mantab lap tara thom haye,positive
arhan main kah,negative
strategi cantik pasu garuda moga kembang permainanya,positive
mntap indonesia,negative
mantab josht timnas imbang arabia kandang indon arabia hrs takluk semangat timnas moga lawan km takluk pildun semangat maju pantang nyerah timnas cu kiper main pakek kaos kuning pakek,positive
babak bnyak hilang bola tahan lini ok indonesia menang lawan australia,positive
moga indonesi masuk piala dunia,positive
timnas maennya bagus bget coy stamina stabil arab kalah paham sty butuh main minimal lgi,positive
ngomong naon si komentatorna,negative
arab ngalahin argentina latih mancini serasa mimpi indonesia imbang maen tandang,positive
towel kmn towel,positive
martenpaesal habis ngeblog pinalti datar ekspresi,negative
ragnar keren kepala ronaldo,positive
garuda next level,positive
nyala abang ku king indo senggol donk,negative
arab kuat yaa nahan imbang indonesia cinta,positive
haru,positive
wasit keren teliti kelas,positive
pelan,positive
wasit ajar ulang tendang penjuru untung arab saudi bilang hbis wasit tiup pluit gol cipta timnas kedip mata wasit misteri seprtnya tuju rencana,negative
alkhamdulillah,positive
kaum munafik gol hoki,positive
menit menit sayang peluang gol paes blunder untung pinalti gol umak mbois ilakes sam,positive
kaget yt premium iklan,positive
gin timnas jago keren euy,positive
yuk main turun moga mees hilgers wni cepat,positive
asli main indonesia iya keren euy,positive
main kasar,positive
bagus,positive
berkat paus indonesia terima kasih paus,positive
haruse ganti babak verdonk mnrutku bagus smpe nahan ngantuk malam mantabb,positive
untung kiper tanggung langgar pinalti,positive
kali bangga timnas main lawan apa minder,negative
takdir forma lawaj angin angin arab bukti imbang australia peluang lawan bahrain minim bahaya mungin curi poin kandang,negative
udah tingkat dadi segi main cetak gol duluan nahan imbang arab kandang pr depan stamina udah loyo menit peluang peluang emas sia sia pikir skor timnas hasil konversi peluang goll overall udah baguss tinggal tingkat main depan go go juang timnas,positive
toell toeell,negative
arab saudi panik berat ketar tir,negative
nonton livenya nonton highlightnya asa nonton indonesia,positive
bang paesal,positive
percaya timnas indonesia juang lolos piala dunia harap juara aff,positive
nonton timnas liga champion,positive
keren main indo,positive
nyala abang,positive
terima kasih main latih official timnas tum pssi anak nama shin tae yong,positive
main kelas dunia indonesia moga raih mimpi latih maju pantang serah,positive
malam begadang nonton doa moga menang cz takut,negative
gacor timnas nyala upgrade level,positive
arab ketar tir,positive
timnas,positive
captain bang jay main baik,positive
highlight iklan,positive
wa haji ragnar ali albulaihi main caper,positive
pamain iya,positive
martin paes,positive
mode real madrid,positive
terima kasih paman sty hebat,positive
asli serasa nonton barca versus real madrid,positive
bangga,positive
kren timnasku,positive
towel towel tunggu komentar,positive
rcti mantap,positive
keren paes tanggung tepis naturalisasi joss,positive
argentina messi ente kalahin timnas indonesia good job sty official timnas indonesia main,positive
al hamdulillah martin paes main ragu timnas indonesia rakyat indonesia dukung timnas ku indonesia bravo,positive
pas main ps jago ku versus komputer arab mlhan nyata main bagus indonesia,positive
kalah menang timnas indonesia ku sanjung,positive
serasa piala dunia,positive
nyala timnas,positive
inimah main lur main indonesia cuman,positive
kelas mancini ajh panik lawan indo,negative
kabar buruk towell,negative
fokus indonesia moga oleh menang terus otw world cup,positive
towel towel nonton,negative
jos gandos tim indonesia maju semangat,positive
ngeri ginih,negative
kuda hitam,negative
skuad arab saudi ngalahin argentina piala dunia qatar sih,negative
indonesia lumayan baguss tahan imbang saudi arabia,positive
haru bahagia syukron timnas syukron sty,positive
mancini shocked bravo indonesia,positive
mantap bravo team nas gilir australia korban teamnas indonesia,positive
main provokasi,negative
iya allah moga usia jelang usia timnas indonesia main piala dunia,positive
mantaap paes mantaap timnas,positive
umur hidup kali ngliat timnas high class nglawan tim kompetisi resmi,negative
semangat garuda juang,positive
arab otak iya wasit parah,negative
full skuad kaya gin nyobain lawan upin ipin,negative
rafael struick gera mati,negative
sederhana emtek gabisa thx highlight rcti,positive
indonesia bara indo nih bosquhh,negative
mes timnas serang habis bola build ngandelin long ball,negative
verdonk kelas main,negative
anjiirr latih kelas dunia roberto mancini,positive
maen gbk optimis timnas cukur arab lemah timnas cuaca hujung babk tengah babak fidik uda kuras kemungkian cuaca panas,positive
komentator bahasa inggris peter drury nonton chanel iya,negative
optimis piala dunia,positive
haru komentar netizen mensupport timnas bravo timnas,positive
menit pertadingan bener bener gila babak tambah masuk akal alhamdulillah indoensia mwnyala,positive
bravo timnas indonesia mantapp moga latih giat bawah asuh sty salah main salah satu kiper paes bikin sport jantung untung blok tendngan pinalti moga depan joss bravo timnas indonesia,positive
marteen paes kereenn manuel neuer gesturnyadibawah mistar,negative
rcti mantap,positive
good jobs amazing fantastis,positive
jenius sty,positive
allhamdulilah imbang sayang statistik kalah pr sty juang semangat garuda,positive
wasit tahi,positive
gokil garuda ku terbang terima kasih unt tim,positive
sp monang,positive
detik tim arab saudi lapang latih nendang pinalti,positive
sandi wals,positive
lihat tim australi cendrung kasar mencedrai lawan kelas tarkam smoga strategi main timnas kuat sabar hasil menang aamiin,positive
ayo timnas ragu tembak kotak,negative
alhamdulillah poin kereen terima kasih,positive
faktor lapang dukung,positive
seri kaya main final nafas stengah hilang,negative
paes tes skill cek kualitas pinalti arab saudi,positive
pepe ragnar,positive
yatta,positive
save class paess,positive
duga menang tipis minimal seri,positive
sih jago latih taktik sty emang top banget indo ubah finishing,positive
slah sisi positif untung datang paus fransiskus indonesia,positive
dingin cuyy,neutral
main al nassr al hilal inti arab saudi timnas indonesia imbang main nice timnas,positive
menang,positive
semangat garuda moga mimpi nyata,positive
titip pesan main timnas lawan bahrain hati mai bnyak sandiwara biar main lawan kena hukum timnas australia korban,negative
rugi nonton timnas rumah tetangga teriak duli timnas poin,negative
optimistis indonesia lolos pildun,positive
latih kelas dunia roberto mancini tahan imbang latih kelas respect,positive
asli marten paes kiper indonesia kalah malam terima kasih paes,positive
rcti baik bola,positive
kalah menang dukung timnas jumawa baik indonesia,positive
mlempem greget,negative
lapang kamera bagus timnas mantab tonton kaya main gbk,positive
terima kasih rcti mudah warga nonton full highligtsnya,positive
peluang arab buka lebar gol sih serang,positive
min sinyal rcti daerah susah min,negative
nama highlight bola beda belah,positive
bangga haru dedikasi juang kenal lelah skuad garuda td malam insya alloh point perdana road piala dunia menang ku sanjung kalah ku dukung ayo indonesia,positive
kapn lihat latih timnas lawan latih kelas dunia,positive
bule isi kiper orang udah bobol,negative
umum sya allah bayu usaha kosan pintu dkat kmpus uin jakabaring palembang tmpt tmpt strategis,negative
alhamdulillah tayang rcti pelit cuplik kaya tv belah cuplik nonton aplikasi streaming bayar payaah,positive
verdonk cosplay tampil spartan carvajal paes reflek gaya main courtois kelas timnasku tampil,positive
piala dunia bro main,positive
indo main cantik,positive
ridho main lokal ngimbangi main main abroud,positive
salut fisik oratmangoen,positive
bodoh dengn towel anntek bner antusias lgi nonton timnas moga maju,negative
indonesia main bagus pola main strategy kerjasama tahan serang struktur tinggal umpan key pas kuramg pas final moment pas udah menang versus arab saudi umpan key pas serang udah goal good job indosenisia soccer team nilai kasih,positive
alhamdulillah jaya garuda,positive
kembang cari suporter indonesia rekah,positive
beneran timnas indonesia gin cuman mimpi,positive
martens peas,negative
bangga timnas,positive
main bagus,positive
pas tom haye asa ambruk banget yak lini,negative
revolusi sepak bola indonesia,positive
main kelas dunia tempo ritme fan passing ciamik dominasi main naturalisasi tep bangga moga main lokal tular orientasi main naturalisasi,positive
mnding posisi smua pmain naturalisasi main asli pribumi titik lemah banget timpang,negative
udah acc kantor telat kerja pagi merah putih dada bravo timnas,positive
menit indo menang,positive
amazing indonesiaa,positive
syukur point sanjung langit capai tsb terus proses garuda tetap jaga asa buat tend positif moga bentuk chemistri main focus detik tanding kalah doa kpd tuhan maha kuasa aamiin,positive
hubner nggk main iya,positive
sni gemetar dagdigdug pas menit serang arab pdhl menit jga peluit,negative
gokil mamang ragnar kelaszz,positive
cr menang pojok level kawan lawan liga saudi main king indo mending pindah dewa united bareng egi kelok,negative
main gila bagus banget indonesia penetrasi bagus gelandang tengah main kaya babak anak asuh shin tae yong best,positive
mudah tanding poin,positive
lihat beda kualitas main aboard liga moga main liga ambil positif main sus main eropa,positive
komentator pake bahasa inggris mana iya,positive
mantap paes blunder debut nepis penalti main arab asuh roberto mancini,positive
kiper bule coy,negative
alhamdulilahh iya allhh jaya sellu indonesiakuu,positive
yaris diijury time menang tanding,positive
bangga wajib syukur uforia anak anak kemarin kalah argentina kalah thailand korea,positive
peluang indonesia ubah skor gpp main bagus,positive
alhamdulillah kiper indo kiper manchester united,positive
hasil imbang menang,positive
rcti oke tv belah,positive
min salah judul sih knapa afc asi qualifier,negative
orang arab saudi itam kulit,negative
bismilah timnas lolos piala dunia,positive
anjaay nahan imbang kandang arab tim ngalahin messi dkk,positive
king indo boss senggol,positive
mantaap,positive
hasil imbang nikmat jalan main bagus progress janji,positive
kaget langsung alir gitu main kumpul staf latih keren,positive
suka banget tdi subuh lihat permaina timnas tinggal good job timnas good job paes,positive
mantap sesuai kelas,positive
asli struick bikin gemes,negative
nahh channel belah highlith pelit buangett mantap rcti,positive
saran pas jngn iklan komentator fokus tanding jngn kebnykan,positive
bang paes tes ilmu jir,positive
main konsisten kayak babak banget arab bantai sayang lelah main syukur curi poin laga tandang,negative
suka timnas mai ngotot pantang serah,positive
goyang dabo dabonya sandy walsh lesak gooll nyala timnasku,negative
ken mnc grup nyiarin timnas pas main drpd emtek grup,negative
albuyahi hadap ragnar mas mas ciloq,negative
jalan tanding semangat main skor bangga timnas banget otw cari tiket match versus australia ahh,positive
siar timnas rcti indosiar,positive
bravo indonesia goo piala dunia,positive
langkah positif,positive
squad mewah,negative
main gaya lenggang piala dunia,positive
nunggu novel komentar,negative
moga allah izin timnas indonesia piala dunia amiin robbln,positive
alhamdulillah well done team main rafael struick haru ajar passing peluang gagal gara passing sempurna,positive
terima kasih rcti tampil timnas,positive
juang nusantara mai uda tim elit eropa banggs,negative
debut perdana paes,positive
mancini tanding resmi sahabat tunjuk main cantik minder,positive
manusia indonesia bayi rangkak raba hasil th depan silah coach online,negative
mash percaya timnas indonesia,positive
kurma versus cendol,positive
serasa mimpi timnas indonesia udah bener level asia level asean,positive
timnas darurat striker haus gol wak kaji joss paes tenang bangeet kelas,negative
tt,positive
tombol macet bro,negative
gilir australia hajar gbt insyaallah jumat penuh berkah,positive
main arab licik kecut guling gampang cedera,negative
bangga juang timnas garuda terbang saing tim asia dunia trima kasih urus pssi sty ubah sepak bola indonesia kontrak sty pensiun indonesia orang suka hujat kritik kerja raka smoga cpt sadar sadar bravo sepak bola indonesia garuda slalu dada sty,negative
indonesia keren skrng bantai arab saudi skrng ngubek mrk kandang mrk kereenn,positive
moga allah izin timnas indonesia masuk piala dunia amiin robbln,positive
formasi keren tenang,positive
main keren,positive
marten paes mantap,positive
jomplang banget cadang coba tolong erick sty lokal pret buang kagak bener palagi si egi marcelino,negative
babak indonesia versi baik sya nonton indonesia keren banget main,positive
witan rafael witan ragnar gooll main cantik,positive
goll sandy walsh marteen paes save moments,positive
info rangking indo min,positive
main kandang menang,positive
arhan main iya,positive
alhamdulillah indonesia boss,positive
bangga timnas indonesia love,positive
anda stamina menang good job timnas,positive
maarten paes gila tanding debut keren yes bikin salah ujung penalti cuman salut baik salah udah nge save penalti gila banget tampil tingkat gitu nge save gokil si maarten paes salah pilih deh shin tae yong ambil orang,negative
rafael ayo kuat tampil,positive
moga mimpi indonesia kali masuk piala dunia aminn bismillah,positive
kurang indonesia semenjak latih sty anak asuh bingung gawang lawang umpan kaya akurat gitu bilang buru kaya semalem pinalti mlakukan serang umpan baca lawan menit babak umpan pelan makasih indonesia sty erik tohir,negative
proud garuda lihat timnas main kaya gin,positive
ragnar gacor,negative
bravo,positive
main kelas eropa tunjuk main latih kelas eropa strategi main bingung transisi tahan serang sempurna tuan rumah frustasi,negative
kerenn timnas indonesia mantap rating timnas indonesia,positive
mantap pokok,positive
butuh goalkeeper bagus call et,positive
arab gol hoki build,positive
era sty nonton timnas deg ngakak lihat main timnas jumpalit kurung serang tim lawan gila salute main timnas fight,negative
goll indoneisa bikin mancinii vanikk,positive
piala dunia mimpi bravo timnas,positive
menang gimana gtu karna maen mayoritas naturalisasi,positive
timnas kereen paes show quality,positive
target gol tik taka struick witan,negative
indonesia milik kiper jago tebak tendang pinalti paes ernando,negative
nginjak kepala wasit,negative
mantap bng martin paes,positive
arab saudi main harap pinalti diving jir coba perhatiin deh malu fairplay,positive
tanding stndr piala dunia gambar jernih lapang bagus var oke slowmo keren detail bget pokok mantapp,positive
epic moment lihat bek tengil sikut kang haji,positive
asia ketar tir,positive
al bulaihi keok ragnar good job,positive
ragnar jebol menit umpan lemah tuh selamat poin timnas,positive
cemistri kiper main,positive
komfirmasi fifa bola milik ragnad,negative
gwendeng gwendeng gwendeng,positive
orang orang begadang terimaksih rcti hightlighnya mantapp,positive
martin paes kalm cuman ngetes ilmu,negative
paes gada obat,negative
rafael witan cocok banget duet keren kerja,positive
indonesia bantai ok,positive
indonesia aneh nonton live streaming negara bayar,negative
mahal banget tuh latih arab,negative
asa lihat piala dunia gas maen,positive
ngeri timnas ku jaya indonesia ku salut bangga pahlawan sepak bola negara ku,positive
keren menang mah pas home main,positive
lagu bondan prakoso feels like home,positive
reflek mantap babang paes sikon one one injury time penalty selamat garuda kalah poin jeddah moga duel kontra australia selasa nnti hasil positif indonesia bravo garuda indonesia,positive
butuh striker murni,negative
andai pas menit oper rafa ragnar poin bawa pulang indonesia,positive
top nyenyak,positive
mantappss salut main timnas juang moga juara,positive
yes yes indonesia masuk piala dunia,positive
ngeri mantab menit cetak goll bener layak apresiasi,positive
alhamdulillah indonesia versus arab saudi anda arab saudi kalah otomatis quota haji indonesia kurang,positive
gila keren habis indonesia kayak newcastel united ngotot fisikell power full,negative
amazing indonesia hebat,positive
sayang banget yaa coba ajah verdonk tutup arab saudi nendang tangkap marten paes indonesia menang gpp bagi poin laga perdana moga laga indonesia cetak gol biar indonesia poin menang arab saudi amiinn amiin,positive
pas gol indonesia unggul mancini lsg kena mental nyangka tim bobol duluan ahai,negative
ruar bravo team garuda,positive
asli semangat nonton timnas kereen woyy main,positive
nyala abang jay ku yuuhuuii si wak haji botak cetak goal yyuuhhuuii,positive
main tarik indonesia lemah cuaca panas arab uras stamina main main raksaksa bola asia kali dekat level mantap,positive
izin share,positive
rafael struck performa peluang sia sia main malam timnas bagus main cuman rafael struck,positive
towel yaa,positive
rindu highlight menit rindu nimpuk admin,positive
istimewa,positive
jioos gandos besuk pas gbk nyayikan lagu bangsa ulang artis,negative
asa nonton timnas oranje sih,neutral
sial lihat live takira tgl seru mlihat liput bnr keren apalgi mlihat smlm,positive
rangking angka sia sia begadang imbang main keren moga untung serta negara indonesia aamiin,positive
wasit sepertinha ragnar karna botak,negative
merinding meliht perminn meolah gemetar lawn,negative
suppot timnas mustahil timnas lolos pildun,positive
momen deg penalty salut maarten paes tanggung salah,negative
era bangga bngt timnas,positive
moga tanding tayangin rxtii,positive
mantep paes,positive
nathan tjoe ahon tom hayee dkk hebat,positive
mai bagus banget bisanahan imbang saudi kandang nilai timnas,positive
towel,positive
selamat timnas indonesia poin harga bangga timnas indonesia main turun talenta muda indonesia bentuk main kelompok umur dewasa moga,positive
